timestamp,mic0,mic1,mic2,mic3
0,53.0,52.0,54.0,53.0
2,53.0,53.0,54.0,53.0
4,53.0,53.0,54.0,53.0
6,54.0,53.0,54.0,53.0
8,53.0,53.0,54.0,53.0
10,54.0,53.0,54.0,53.0
12,53.0,53.0,54.0,53.0
14,54.0,52.0,54.0,53.0
16,54.0,53.0,54.0,53.0
18,54.0,53.0,54.0,53.0
20,53.0,53.0,54.0,53.0
22,53.0,53.0,54.0,53.0
24,53.0,53.0,53.0,53.0
26,53.0,53.0,53.0,53.0
28,53.0,53.0,54.0,53.0
30,53.0,52.0,54.0,53.0
32,53.0,53.0,53.0,53.0
34,53.0,53.0,53.0,53.0
36,53.0,52.0,54.0,53.0
38,54.0,52.0,54.0,53.0
40,54.0,53.0,54.0,53.0
42,53.0,52.0,53.0,53.0
44,54.0,53.0,54.0,53.0
46,53.0,53.0,54.0,53.0
48,54.0,53.0,53.0,53.0
50,53.0,53.0,54.0,53.0
52,53.0,52.0,53.0,53.0
54,53.0,53.0,54.0,53.0
56,53.0,53.0,53.0,53.0
58,53.0,53.0,53.0,52.0
60,53.0,53.0,54.0,53.0
62,53.0,53.0,54.0,53.0
64,53.0,53.0,53.0,53.0
66,53.0,53.0,53.0,53.0
68,53.0,52.0,54.0,53.0
70,53.0,53.0,54.0,53.0
72,53.0,53.0,54.0,53.0
74,53.0,53.0,53.0,53.0
76,54.0,52.0,53.0,53.0
78,54.0,53.0,53.0,53.0
80,53.0,53.0,54.0,53.0
82,54.0,53.0,54.0,53.0
84,53.0,53.0,53.0,53.0
86,54.0,53.0,53.0,53.0
88,53.0,53.0,54.0,53.0
90,53.0,53.0,54.0,53.0
92,53.0,53.0,54.0,53.0
94,53.0,52.0,54.0,53.0
96,53.0,53.0,53.0,53.0
98,53.0,53.0,53.0,53.0
100,53.0,52.0,54.0,53.0
102,53.0,52.0,54.0,53.0
104,53.0,52.0,53.0,53.0
106,54.0,53.0,53.0,53.0
108,53.0,53.0,54.0,53.0
110,53.0,52.0,54.0,52.0
112,53.0,53.0,54.0,53.0
114,54.0,53.0,54.0,53.0
116,54.0,53.0,53.0,53.0
118,54.0,53.0,53.0,53.0
120,54.0,53.0,54.0,53.0
122,53.0,52.0,54.0,53.0
124,53.0,53.0,54.0,53.0
126,53.0,53.0,54.0,53.0
128,53.0,53.0,54.0,53.0
130,53.0,52.0,53.0,53.0
132,53.0,53.0,53.0,53.0
134,53.0,53.0,54.0,53.0
136,53.0,53.0,53.0,53.0
138,53.0,53.0,53.0,53.0
140,53.0,53.0,54.0,53.0
142,53.0,52.0,53.0,53.0
144,53.0,53.0,53.0,53.0
146,53.0,53.0,54.0,52.0
148,53.0,53.0,53.0,53.0
150,53.0,53.0,54.0,53.0
152,54.0,53.0,54.0,53.0
154,53.0,53.0,54.0,53.0
156,53.0,52.0,53.0,53.0
158,53.0,53.0,53.0,52.0
160,56.0,53.0,53.0,55.0
162,57.0,53.0,54.0,55.0
164,58.0,54.0,56.0,50.0
166,61.0,52.0,52.0,70.0
168,66.0,57.0,47.0,68.0
170,55.0,49.0,54.0,65.0
172,61.0,55.0,53.0,70.0
174,62.0,60.0,52.0,78.0
176,63.0,55.0,49.0,73.0
178,61.0,53.0,48.0,61.0
180,55.0,53.0,47.0,55.0
182,53.0,52.0,53.0,59.0
184,49.0,52.0,53.0,59.0
186,49.0,50.0,57.0,56.0
188,48.0,52.0,57.0,52.0
190,50.0,53.0,53.0,52.0
192,52.0,53.0,54.0,50.0
194,55.0,52.0,55.0,49.0
196,64.0,52.0,48.0,55.0
198,72.0,51.0,46.0,52.0
200,72.0,53.0,43.0,48.0
202,71.0,52.0,44.0,49.0
204,70.0,51.0,47.0,51.0
206,68.0,53.0,52.0,51.0
208,67.0,52.0,53.0,52.0
210,65.0,52.0,53.0,54.0
212,61.0,53.0,51.0,53.0
214,60.0,52.0,51.0,51.0
216,62.0,52.0,49.0,54.0
218,61.0,53.0,49.0,52.0
220,54.0,53.0,53.0,53.0
222,54.0,54.0,52.0,53.0
224,54.0,53.0,56.0,55.0
226,51.0,52.0,56.0,53.0
228,50.0,52.0,54.0,54.0
230,52.0,52.0,52.0,52.0
232,53.0,52.0,52.0,52.0
234,55.0,52.0,50.0,52.0
236,53.0,52.0,52.0,52.0
238,50.0,53.0,53.0,52.0
240,49.0,53.0,53.0,53.0
242,49.0,53.0,54.0,53.0
244,47.0,53.0,55.0,53.0
246,46.0,53.0,54.0,53.0
248,48.0,53.0,55.0,52.0
250,51.0,53.0,54.0,53.0
252,53.0,53.0,53.0,53.0
254,51.0,53.0,56.0,53.0
256,52.0,53.0,54.0,54.0
258,54.0,52.0,56.0,53.0
260,54.0,53.0,56.0,52.0
262,53.0,53.0,56.0,54.0
264,54.0,53.0,56.0,53.0
266,54.0,53.0,56.0,52.0
268,54.0,53.0,55.0,53.0
270,52.0,53.0,56.0,52.0
272,49.0,52.0,56.0,52.0
274,50.0,53.0,56.0,53.0
276,50.0,53.0,55.0,52.0
278,49.0,53.0,56.0,52.0
280,49.0,53.0,55.0,53.0
282,51.0,52.0,54.0,53.0
284,52.0,53.0,54.0,53.0
286,51.0,52.0,53.0,53.0
288,51.0,53.0,53.0,54.0
290,50.0,52.0,54.0,53.0
292,51.0,53.0,53.0,53.0
294,51.0,53.0,54.0,53.0
296,51.0,53.0,54.0,53.0
298,51.0,53.0,54.0,52.0
300,51.0,53.0,54.0,53.0
302,50.0,53.0,54.0,53.0
304,50.0,53.0,54.0,53.0
306,51.0,53.0,54.0,53.0
308,53.0,53.0,54.0,53.0
310,53.0,53.0,55.0,53.0
312,53.0,53.0,55.0,53.0
314,53.0,53.0,55.0,53.0
316,54.0,53.0,55.0,53.0
318,54.0,53.0,55.0,53.0
320,54.0,53.0,54.0,53.0
322,53.0,53.0,54.0,53.0
324,52.0,53.0,54.0,53.0
326,52.0,53.0,55.0,52.0
328,50.0,53.0,55.0,53.0
330,49.0,53.0,55.0,53.0
332,49.0,53.0,55.0,53.0
334,49.0,53.0,54.0,53.0
336,49.0,52.0,54.0,52.0
338,50.0,53.0,53.0,53.0
340,51.0,52.0,53.0,52.0
342,52.0,52.0,54.0,53.0
344,52.0,53.0,54.0,53.0
346,51.0,53.0,54.0,53.0
348,51.0,53.0,54.0,53.0
350,52.0,53.0,54.0,53.0
352,51.0,53.0,54.0,53.0
354,51.0,53.0,55.0,53.0
356,51.0,53.0,55.0,53.0
358,52.0,53.0,55.0,53.0
360,51.0,53.0,54.0,53.0
362,51.0,53.0,54.0,53.0
364,52.0,53.0,54.0,53.0
366,52.0,53.0,54.0,53.0
368,52.0,53.0,54.0,53.0
370,51.0,53.0,54.0,53.0
372,51.0,53.0,54.0,53.0
374,51.0,53.0,54.0,53.0
376,51.0,53.0,54.0,53.0
378,50.0,53.0,54.0,53.0
380,49.0,53.0,54.0,53.0
382,49.0,53.0,54.0,53.0
384,49.0,53.0,54.0,53.0
386,50.0,53.0,54.0,53.0
388,50.0,53.0,54.0,53.0
390,50.0,53.0,54.0,53.0
392,51.0,53.0,54.0,53.0
394,53.0,53.0,53.0,53.0
396,54.0,53.0,53.0,53.0
398,55.0,53.0,54.0,53.0
400,57.0,53.0,53.0,55.0
402,57.0,53.0,53.0,54.0
404,59.0,52.0,53.0,52.0
