timestamp,mic0,mic1,mic2,mic3
0,53.0,53.0,53.0,53.0
2,53.0,53.0,53.0,53.0
4,53.0,52.0,54.0,53.0
6,53.0,53.0,54.0,53.0
8,53.0,53.0,54.0,53.0
10,53.0,53.0,54.0,53.0
12,53.0,53.0,53.0,52.0
14,53.0,53.0,54.0,52.0
16,53.0,53.0,53.0,53.0
18,54.0,52.0,54.0,53.0
20,53.0,53.0,53.0,53.0
22,53.0,53.0,54.0,53.0
24,53.0,53.0,54.0,53.0
26,54.0,53.0,54.0,53.0
28,53.0,53.0,54.0,53.0
30,54.0,53.0,54.0,53.0
32,53.0,53.0,54.0,52.0
34,53.0,53.0,54.0,53.0
36,53.0,53.0,53.0,53.0
38,54.0,53.0,54.0,53.0
40,53.0,53.0,54.0,53.0
42,53.0,53.0,53.0,53.0
44,54.0,53.0,53.0,53.0
46,54.0,52.0,54.0,53.0
48,54.0,53.0,53.0,53.0
50,54.0,53.0,54.0,53.0
52,53.0,53.0,53.0,53.0
54,53.0,53.0,54.0,53.0
56,53.0,53.0,54.0,53.0
58,53.0,52.0,54.0,52.0
60,53.0,52.0,53.0,53.0
62,53.0,53.0,54.0,53.0
64,53.0,53.0,53.0,53.0
66,53.0,53.0,53.0,53.0
68,53.0,53.0,53.0,53.0
70,53.0,52.0,53.0,53.0
72,53.0,53.0,54.0,53.0
74,54.0,53.0,54.0,53.0
76,53.0,52.0,54.0,53.0
78,53.0,53.0,54.0,53.0
80,54.0,53.0,53.0,53.0
82,53.0,53.0,53.0,53.0
84,53.0,53.0,54.0,53.0
86,53.0,53.0,53.0,53.0
88,53.0,53.0,54.0,52.0
90,53.0,53.0,54.0,53.0
92,53.0,53.0,54.0,53.0
94,54.0,53.0,54.0,53.0
96,53.0,52.0,54.0,53.0
98,53.0,52.0,54.0,53.0
100,54.0,53.0,53.0,53.0
102,53.0,52.0,53.0,53.0
104,53.0,52.0,53.0,53.0
106,53.0,53.0,54.0,52.0
108,54.0,53.0,54.0,53.0
110,54.0,53.0,53.0,53.0
112,54.0,53.0,54.0,53.0
114,54.0,53.0,53.0,53.0
116,53.0,52.0,53.0,53.0
118,54.0,53.0,54.0,53.0
120,53.0,53.0,54.0,53.0
122,53.0,52.0,53.0,53.0
124,53.0,52.0,54.0,53.0
126,53.0,52.0,53.0,53.0
128,53.0,53.0,54.0,53.0
130,53.0,53.0,54.0,53.0
132,53.0,53.0,53.0,53.0
134,53.0,53.0,54.0,53.0
136,53.0,53.0,53.0,53.0
138,53.0,53.0,54.0,53.0
140,53.0,53.0,54.0,53.0
142,53.0,53.0,53.0,52.0
144,54.0,52.0,53.0,53.0
146,53.0,53.0,53.0,53.0
148,53.0,52.0,53.0,53.0
150,54.0,53.0,53.0,53.0
152,54.0,53.0,54.0,53.0
154,53.0,53.0,53.0,53.0
156,53.0,52.0,53.0,53.0
158,53.0,53.0,53.0,53.0
160,53.0,52.0,54.0,53.0
162,53.0,53.0,54.0,53.0
164,53.0,52.0,54.0,53.0
166,53.0,53.0,54.0,53.0
168,53.0,53.0,54.0,53.0
170,53.0,53.0,54.0,53.0
172,53.0,53.0,53.0,53.0
174,53.0,53.0,54.0,53.0
176,54.0,52.0,53.0,53.0
178,54.0,52.0,53.0,53.0
180,54.0,53.0,53.0,53.0
182,54.0,52.0,54.0,53.0
184,54.0,52.0,54.0,53.0
186,54.0,53.0,53.0,53.0
188,53.0,53.0,53.0,53.0
190,53.0,53.0,53.0,53.0
192,54.0,52.0,54.0,53.0
194,53.0,53.0,53.0,53.0
196,53.0,53.0,54.0,53.0
198,53.0,52.0,53.0,53.0
200,53.0,53.0,54.0,53.0
202,53.0,53.0,53.0,53.0
204,53.0,53.0,53.0,53.0
206,53.0,53.0,53.0,53.0
208,53.0,53.0,53.0,53.0
210,54.0,53.0,53.0,53.0
212,54.0,53.0,54.0,53.0
214,53.0,53.0,54.0,53.0
216,53.0,53.0,54.0,53.0
218,53.0,52.0,53.0,53.0
220,54.0,52.0,54.0,53.0
222,53.0,53.0,54.0,53.0
224,53.0,53.0,53.0,52.0
226,53.0,53.0,54.0,53.0
228,53.0,53.0,54.0,53.0
230,53.0,53.0,53.0,53.0
232,53.0,53.0,54.0,53.0
234,53.0,53.0,54.0,53.0
236,54.0,53.0,53.0,53.0
238,53.0,53.0,54.0,53.0
240,53.0,52.0,53.0,53.0
242,54.0,52.0,52.0,53.0
244,55.0,52.0,52.0,53.0
246,60.0,55.0,56.0,51.0
248,61.0,53.0,56.0,52.0
250,60.0,52.0,55.0,54.0
252,62.0,51.0,53.0,56.0
254,65.0,50.0,50.0,54.0
256,65.0,52.0,49.0,53.0
258,66.0,54.0,52.0,50.0
260,62.0,53.0,46.0,61.0
262,57.0,52.0,52.0,50.0
264,52.0,53.0,51.0,61.0
266,55.0,50.0,54.0,72.0
268,51.0,54.0,55.0,70.0
270,50.0,54.0,56.0,60.0
272,48.0,55.0,53.0,54.0
274,51.0,54.0,50.0,50.0
276,52.0,53.0,47.0,50.0
278,53.0,53.0,49.0,49.0
280,55.0,52.0,52.0,53.0
282,57.0,53.0,55.0,56.0
284,57.0,52.0,58.0,58.0
286,54.0,52.0,58.0,56.0
288,54.0,52.0,55.0,56.0
290,56.0,52.0,55.0,54.0
292,56.0,52.0,54.0,53.0
294,56.0,52.0,54.0,51.0
296,55.0,53.0,57.0,51.0
298,53.0,54.0,57.0,51.0
300,51.0,53.0,56.0,51.0
302,48.0,53.0,56.0,53.0
304,48.0,52.0,55.0,55.0
306,52.0,52.0,54.0,54.0
308,57.0,52.0,51.0,52.0
310,60.0,53.0,48.0,51.0
312,61.0,52.0,47.0,50.0
314,61.0,52.0,47.0,52.0
316,59.0,51.0,48.0,53.0
318,56.0,52.0,51.0,53.0
320,54.0,53.0,53.0,54.0
322,53.0,53.0,53.0,53.0
324,54.0,53.0,52.0,52.0
326,55.0,53.0,50.0,52.0
328,54.0,53.0,50.0,52.0
330,53.0,53.0,50.0,53.0
332,53.0,53.0,51.0,52.0
334,53.0,53.0,53.0,53.0
336,54.0,53.0,54.0,53.0
338,55.0,53.0,54.0,53.0
340,57.0,53.0,53.0,53.0
342,58.0,52.0,52.0,53.0
344,58.0,53.0,51.0,53.0
346,57.0,52.0,52.0,53.0
348,56.0,52.0,53.0,53.0
350,55.0,52.0,54.0,53.0
352,53.0,53.0,55.0,53.0
354,52.0,53.0,54.0,53.0
356,51.0,53.0,54.0,53.0
358,50.0,53.0,53.0,53.0
360,49.0,53.0,54.0,53.0
362,50.0,53.0,53.0,52.0
364,51.0,52.0,53.0,53.0
366,52.0,52.0,54.0,53.0
368,52.0,52.0,54.0,53.0
370,52.0,53.0,55.0,53.0
372,52.0,52.0,54.0,53.0
374,52.0,53.0,54.0,53.0
376,53.0,53.0,54.0,52.0
378,54.0,53.0,54.0,53.0
380,53.0,53.0,54.0,53.0
382,53.0,53.0,55.0,53.0
384,52.0,53.0,55.0,53.0
386,51.0,53.0,56.0,53.0
388,51.0,53.0,55.0,53.0
390,51.0,53.0,56.0,53.0
392,53.0,54.0,56.0,53.0
394,54.0,53.0,55.0,53.0
396,54.0,53.0,55.0,53.0
398,54.0,53.0,55.0,53.0
400,54.0,52.0,55.0,53.0
402,54.0,53.0,54.0,53.0
404,54.0,53.0,55.0,53.0
406,53.0,53.0,55.0,53.0
408,52.0,53.0,55.0,53.0
410,52.0,53.0,55.0,52.0
412,52.0,52.0,54.0,52.0
414,51.0,53.0,54.0,53.0
416,51.0,53.0,54.0,53.0
418,51.0,53.0,53.0,53.0
420,51.0,53.0,54.0,53.0
422,52.0,53.0,54.0,53.0
424,53.0,53.0,54.0,52.0
426,53.0,53.0,54.0,53.0
428,53.0,53.0,54.0,53.0
430,54.0,52.0,53.0,53.0
432,54.0,53.0,54.0,53.0
434,54.0,53.0,54.0,53.0
436,53.0,53.0,54.0,53.0
438,53.0,53.0,55.0,53.0
440,53.0,53.0,55.0,53.0
442,52.0,53.0,55.0,53.0
444,52.0,53.0,56.0,53.0
446,52.0,53.0,55.0,53.0
448,53.0,53.0,54.0,53.0
450,53.0,53.0,54.0,53.0
452,53.0,52.0,54.0,53.0
454,53.0,53.0,54.0,53.0
456,53.0,53.0,54.0,53.0
458,53.0,53.0,54.0,53.0
460,53.0,53.0,55.0,53.0
462,53.0,52.0,55.0,53.0
464,52.0,53.0,54.0,53.0
466,53.0,53.0,54.0,53.0
468,52.0,53.0,54.0,53.0
470,52.0,53.0,53.0,53.0
472,52.0,53.0,54.0,53.0
474,52.0,53.0,54.0,53.0
476,52.0,53.0,54.0,53.0
478,52.0,53.0,54.0,53.0
480,53.0,53.0,54.0,53.0
482,53.0,52.0,54.0,53.0
484,53.0,53.0,54.0,53.0
486,53.0,53.0,55.0,53.0
488,53.0,53.0,55.0,53.0
490,54.0,53.0,54.0,53.0
492,54.0,53.0,54.0,53.0
494,53.0,53.0,55.0,53.0
496,53.0,53.0,54.0,53.0
498,53.0,53.0,55.0,53.0
500,53.0,52.0,54.0,53.0
502,53.0,52.0,55.0,53.0
504,53.0,52.0,53.0,53.0
506,53.0,53.0,54.0,52.0
508,54.0,52.0,53.0,53.0
