timestamp,mic0,mic1,mic2,mic3
0,53.0,53.0,54.0,53.0
2,53.0,53.0,54.0,53.0
4,53.0,53.0,54.0,53.0
6,51.0,53.0,53.0,53.0
8,53.0,53.0,54.0,52.0
10,54.0,53.0,54.0,53.0
12,53.0,53.0,53.0,53.0
14,54.0,53.0,54.0,52.0
16,54.0,53.0,53.0,52.0
18,54.0,53.0,53.0,53.0
20,54.0,53.0,54.0,53.0
22,54.0,52.0,54.0,53.0
24,54.0,52.0,53.0,53.0
26,54.0,53.0,53.0,53.0
28,54.0,52.0,53.0,53.0
30,54.0,52.0,53.0,53.0
32,54.0,52.0,54.0,53.0
34,54.0,52.0,53.0,53.0
36,53.0,53.0,53.0,53.0
38,54.0,52.0,54.0,53.0
40,54.0,52.0,53.0,53.0
42,54.0,53.0,54.0,53.0
44,54.0,53.0,53.0,52.0
46,54.0,53.0,53.0,53.0
48,53.0,53.0,54.0,53.0
50,53.0,52.0,54.0,54.0
52,53.0,53.0,52.0,53.0
54,53.0,53.0,54.0,52.0
56,53.0,53.0,53.0,53.0
58,54.0,53.0,53.0,54.0
60,54.0,53.0,53.0,53.0
62,54.0,53.0,53.0,53.0
64,54.0,53.0,53.0,53.0
66,53.0,52.0,54.0,53.0
68,53.0,53.0,53.0,52.0
70,54.0,53.0,53.0,52.0
72,54.0,53.0,53.0,53.0
74,53.0,53.0,54.0,53.0
76,53.0,53.0,54.0,53.0
78,54.0,53.0,53.0,53.0
80,54.0,53.0,53.0,53.0
82,53.0,53.0,53.0,53.0
84,53.0,53.0,53.0,53.0
86,54.0,53.0,54.0,52.0
88,54.0,52.0,53.0,53.0
90,54.0,53.0,54.0,53.0
92,54.0,53.0,53.0,52.0
94,53.0,53.0,54.0,53.0
96,54.0,52.0,53.0,52.0
98,54.0,52.0,53.0,53.0
100,53.0,53.0,53.0,53.0
102,54.0,52.0,53.0,53.0
104,54.0,53.0,53.0,53.0
106,54.0,53.0,54.0,53.0
108,54.0,53.0,53.0,50.0
110,55.0,52.0,54.0,52.0
112,55.0,52.0,53.0,52.0
114,55.0,53.0,53.0,51.0
116,54.0,52.0,53.0,50.0
118,54.0,52.0,53.0,51.0
120,54.0,52.0,53.0,54.0
122,54.0,53.0,53.0,54.0
124,54.0,53.0,53.0,53.0
126,54.0,53.0,53.0,53.0
128,54.0,53.0,53.0,53.0
130,54.0,53.0,54.0,53.0
132,53.0,53.0,53.0,53.0
134,53.0,53.0,53.0,52.0
136,52.0,52.0,54.0,52.0
138,53.0,52.0,53.0,53.0
140,55.0,53.0,54.0,52.0
142,55.0,53.0,54.0,53.0
144,54.0,53.0,54.0,51.0
146,55.0,53.0,53.0,52.0
148,56.0,53.0,53.0,52.0
150,56.0,53.0,53.0,53.0
152,55.0,53.0,53.0,54.0
154,54.0,53.0,53.0,53.0
156,55.0,53.0,53.0,53.0
158,56.0,53.0,53.0,53.0
160,55.0,52.0,53.0,53.0
162,54.0,52.0,53.0,53.0
164,55.0,53.0,53.0,53.0
166,55.0,53.0,53.0,53.0
168,54.0,52.0,53.0,52.0
170,54.0,52.0,53.0,53.0
172,55.0,53.0,53.0,53.0
174,56.0,53.0,53.0,53.0
176,56.0,53.0,53.0,53.0
178,54.0,53.0,53.0,53.0
180,55.0,53.0,53.0,53.0
182,55.0,52.0,54.0,53.0
184,55.0,53.0,53.0,53.0
186,55.0,53.0,53.0,53.0
188,54.0,53.0,53.0,52.0
190,55.0,53.0,54.0,53.0
192,54.0,53.0,54.0,54.0
194,53.0,53.0,55.0,54.0
196,52.0,53.0,54.0,54.0
198,51.0,53.0,54.0,53.0
200,54.0,52.0,54.0,49.0
202,59.0,53.0,56.0,53.0
204,61.0,53.0,54.0,54.0
206,65.0,54.0,59.0,56.0
208,71.0,54.0,52.0,53.0
210,72.0,53.0,54.0,52.0
212,68.0,52.0,51.0,55.0
214,65.0,53.0,50.0,57.0
216,60.0,52.0,48.0,52.0
218,59.0,52.0,51.0,57.0
220,61.0,51.0,51.0,41.0
222,50.0,55.0,56.0,54.0
224,50.0,55.0,54.0,55.0
226,47.0,52.0,54.0,58.0
228,49.0,54.0,52.0,61.0
230,47.0,51.0,51.0,54.0
232,48.0,50.0,51.0,54.0
234,50.0,52.0,52.0,53.0
236,55.0,53.0,51.0,54.0
238,59.0,54.0,52.0,50.0
240,60.0,52.0,54.0,50.0
242,59.0,53.0,54.0,51.0
244,60.0,53.0,53.0,52.0
246,59.0,53.0,53.0,53.0
