timestamp,mic0,mic1,mic2,mic3
0,54.0,53.0,54.0,53.0
2,54.0,53.0,54.0,53.0
4,53.0,52.0,54.0,53.0
6,53.0,53.0,53.0,53.0
8,53.0,53.0,53.0,53.0
10,54.0,53.0,54.0,53.0
12,53.0,53.0,53.0,53.0
14,53.0,53.0,53.0,53.0
16,53.0,53.0,53.0,52.0
18,53.0,52.0,53.0,53.0
20,53.0,53.0,53.0,52.0
22,53.0,53.0,54.0,53.0
24,53.0,53.0,54.0,53.0
26,54.0,52.0,54.0,53.0
28,53.0,53.0,53.0,53.0
30,53.0,53.0,53.0,53.0
32,53.0,53.0,53.0,53.0
34,54.0,53.0,53.0,53.0
36,54.0,53.0,53.0,53.0
38,53.0,53.0,54.0,53.0
40,53.0,53.0,54.0,53.0
42,53.0,53.0,53.0,53.0
44,53.0,52.0,54.0,53.0
46,53.0,53.0,53.0,53.0
48,53.0,52.0,54.0,53.0
50,54.0,53.0,53.0,53.0
52,53.0,53.0,54.0,53.0
54,53.0,53.0,54.0,53.0
56,53.0,52.0,53.0,53.0
58,53.0,53.0,53.0,53.0
60,53.0,53.0,54.0,53.0
62,53.0,52.0,53.0,53.0
64,53.0,53.0,53.0,53.0
66,53.0,53.0,53.0,53.0
68,53.0,53.0,54.0,53.0
70,53.0,53.0,54.0,53.0
72,53.0,53.0,53.0,53.0
74,53.0,53.0,53.0,53.0
76,53.0,53.0,54.0,53.0
78,53.0,53.0,53.0,53.0
80,53.0,53.0,53.0,52.0
82,53.0,53.0,54.0,53.0
84,53.0,52.0,54.0,53.0
86,53.0,53.0,54.0,53.0
88,53.0,53.0,53.0,53.0
90,53.0,53.0,53.0,53.0
92,53.0,53.0,53.0,53.0
94,53.0,52.0,53.0,53.0
96,53.0,53.0,53.0,53.0
98,53.0,53.0,53.0,53.0
100,53.0,52.0,54.0,53.0
102,53.0,53.0,53.0,53.0
104,53.0,53.0,54.0,53.0
106,53.0,53.0,54.0,53.0
108,53.0,53.0,53.0,53.0
110,53.0,52.0,53.0,53.0
112,53.0,53.0,53.0,53.0
114,53.0,53.0,53.0,53.0
116,53.0,53.0,53.0,53.0
118,53.0,53.0,54.0,53.0
120,53.0,52.0,54.0,52.0
122,53.0,52.0,54.0,52.0
124,53.0,52.0,54.0,53.0
126,53.0,52.0,54.0,53.0
128,53.0,52.0,53.0,53.0
130,53.0,53.0,53.0,53.0
132,53.0,52.0,54.0,53.0
134,53.0,53.0,53.0,53.0
136,53.0,52.0,53.0,53.0
138,53.0,53.0,54.0,53.0
140,53.0,53.0,53.0,53.0
142,53.0,52.0,54.0,53.0
144,53.0,52.0,53.0,53.0
146,53.0,53.0,54.0,53.0
148,53.0,53.0,54.0,53.0
150,53.0,53.0,54.0,53.0
152,54.0,53.0,53.0,53.0
154,53.0,53.0,53.0,53.0
156,53.0,52.0,54.0,53.0
158,53.0,53.0,53.0,53.0
160,53.0,53.0,54.0,53.0
162,53.0,52.0,54.0,53.0
164,53.0,53.0,53.0,53.0
166,53.0,53.0,54.0,53.0
168,53.0,53.0,53.0,53.0
170,53.0,53.0,53.0,53.0
172,53.0,53.0,53.0,53.0
174,53.0,53.0,53.0,53.0
176,53.0,52.0,54.0,53.0
178,53.0,53.0,53.0,52.0
180,53.0,52.0,53.0,53.0
182,53.0,53.0,54.0,53.0
184,53.0,53.0,53.0,53.0
186,53.0,53.0,53.0,53.0
188,53.0,53.0,54.0,53.0
190,53.0,53.0,53.0,53.0
192,53.0,53.0,53.0,53.0
194,54.0,53.0,53.0,53.0
196,53.0,53.0,54.0,53.0
198,53.0,53.0,54.0,53.0
200,54.0,53.0,54.0,53.0
202,53.0,52.0,53.0,53.0
204,54.0,53.0,54.0,53.0
206,54.0,53.0,53.0,53.0
208,54.0,52.0,53.0,53.0
210,54.0,53.0,54.0,53.0
212,53.0,53.0,54.0,53.0
214,54.0,52.0,53.0,53.0
216,54.0,53.0,54.0,53.0
218,54.0,52.0,53.0,53.0
220,54.0,53.0,54.0,53.0
222,54.0,53.0,54.0,53.0
224,54.0,53.0,53.0,53.0
226,54.0,53.0,53.0,53.0
228,54.0,52.0,54.0,53.0
230,55.0,53.0,54.0,53.0
232,55.0,53.0,53.0,53.0
234,54.0,53.0,55.0,53.0
236,55.0,52.0,54.0,53.0
238,55.0,53.0,54.0,53.0
240,55.0,52.0,53.0,54.0
242,56.0,53.0,54.0,54.0
244,55.0,52.0,53.0,53.0
246,56.0,53.0,54.0,54.0
248,56.0,53.0,53.0,52.0
250,56.0,52.0,54.0,54.0
252,56.0,53.0,53.0,52.0
254,57.0,52.0,53.0,54.0
256,57.0,52.0,53.0,52.0
258,58.0,53.0,53.0,53.0
260,59.0,54.0,51.0,52.0
262,60.0,52.0,55.0,53.0
264,57.0,53.0,54.0,58.0
266,55.0,51.0,54.0,56.0
268,54.0,52.0,53.0,50.0
270,55.0,53.0,54.0,48.0
272,58.0,53.0,53.0,52.0
274,60.0,53.0,53.0,50.0
276,58.0,53.0,54.0,50.0
278,55.0,52.0,54.0,52.0
280,55.0,52.0,54.0,54.0
282,55.0,52.0,53.0,52.0
284,57.0,53.0,54.0,53.0
286,59.0,53.0,53.0,53.0
288,60.0,53.0,54.0,51.0
290,59.0,53.0,54.0,52.0
292,57.0,52.0,53.0,54.0
294,56.0,52.0,53.0,54.0
296,56.0,52.0,53.0,52.0
298,58.0,53.0,53.0,52.0
300,58.0,53.0,53.0,51.0
302,58.0,53.0,53.0,52.0
304,56.0,53.0,54.0,52.0
306,55.0,52.0,54.0,53.0
308,53.0,53.0,53.0,52.0
310,51.0,52.0,54.0,53.0
312,51.0,53.0,53.0,52.0
314,50.0,53.0,54.0,52.0
316,47.0,53.0,55.0,50.0
318,46.0,53.0,53.0,50.0
320,49.0,53.0,55.0,50.0
322,50.0,53.0,55.0,52.0
324,58.0,53.0,56.0,53.0
326,67.0,53.0,54.0,53.0
328,76.0,53.0,54.0,53.0
330,84.0,54.0,40.0,55.0
332,85.0,53.0,42.0,50.0
334,77.0,53.0,39.0,54.0
336,66.0,52.0,44.0,49.0
338,64.0,52.0,60.0,59.0
340,54.0,54.0,65.0,55.0
342,41.0,53.0,68.0,54.0
344,30.0,53.0,55.0,55.0
346,28.0,52.0,57.0,52.0
348,33.0,52.0,55.0,53.0
350,40.0,52.0,56.0,51.0
352,49.0,53.0,55.0,51.0
354,57.0,53.0,56.0,51.0
356,64.0,51.0,54.0,54.0
358,69.0,52.0,53.0,54.0
360,74.0,52.0,36.0,55.0
362,70.0,53.0,34.0,53.0
364,63.0,51.0,30.0,51.0
366,61.0,52.0,52.0,52.0
368,58.0,53.0,65.0,51.0
370,54.0,53.0,74.0,55.0
372,48.0,55.0,63.0,55.0
374,45.0,52.0,58.0,57.0
376,48.0,53.0,53.0,52.0
378,54.0,53.0,49.0,52.0
380,62.0,54.0,43.0,51.0
382,66.0,54.0,46.0,51.0
384,69.0,54.0,51.0,53.0
386,67.0,53.0,58.0,50.0
388,59.0,51.0,60.0,55.0
390,48.0,51.0,59.0,56.0
392,47.0,51.0,54.0,58.0
394,56.0,53.0,50.0,52.0
396,62.0,53.0,48.0,50.0
398,61.0,54.0,51.0,49.0
400,55.0,53.0,55.0,51.0
402,51.0,52.0,57.0,51.0
404,48.0,52.0,56.0,55.0
406,45.0,52.0,54.0,57.0
408,44.0,52.0,52.0,54.0
410,49.0,53.0,50.0,51.0
412,57.0,53.0,50.0,49.0
414,60.0,53.0,52.0,50.0
416,57.0,53.0,54.0,52.0
418,54.0,52.0,55.0,55.0
420,52.0,52.0,56.0,55.0
422,49.0,52.0,56.0,55.0
424,49.0,53.0,56.0,54.0
426,53.0,53.0,55.0,52.0
428,58.0,54.0,55.0,51.0
430,59.0,54.0,54.0,51.0
432,55.0,53.0,55.0,53.0
434,50.0,52.0,55.0,54.0
436,49.0,52.0,55.0,54.0
438,48.0,52.0,55.0,54.0
440,49.0,53.0,55.0,53.0
442,50.0,53.0,56.0,52.0
444,52.0,53.0,55.0,52.0
446,52.0,53.0,55.0,52.0
448,49.0,52.0,54.0,52.0
450,47.0,52.0,54.0,54.0
452,47.0,52.0,53.0,54.0
454,50.0,52.0,53.0,55.0
456,51.0,53.0,53.0,54.0
458,50.0,53.0,54.0,53.0
460,52.0,53.0,53.0,53.0
462,52.0,53.0,54.0,53.0
464,50.0,53.0,54.0,55.0
466,47.0,53.0,54.0,53.0
468,46.0,52.0,54.0,55.0
470,46.0,53.0,54.0,51.0
472,46.0,53.0,53.0,53.0
474,46.0,53.0,54.0,52.0
476,44.0,53.0,55.0,53.0
478,43.0,53.0,55.0,52.0
480,43.0,52.0,54.0,53.0
482,41.0,53.0,53.0,55.0
484,40.0,52.0,53.0,56.0
486,42.0,54.0,53.0,53.0
488,44.0,53.0,54.0,53.0
