timestamp,mic0,mic1,mic2,mic3
0,52.0,52.0,53.0,51.0
2,52.0,53.0,54.0,52.0
4,52.0,52.0,53.0,55.0
6,54.0,52.0,53.0,55.0
8,52.0,53.0,54.0,54.0
10,53.0,52.0,54.0,53.0
12,53.0,53.0,54.0,53.0
14,53.0,53.0,53.0,52.0
16,53.0,53.0,54.0,53.0
18,53.0,52.0,53.0,53.0
20,53.0,52.0,54.0,53.0
22,53.0,53.0,53.0,53.0
24,53.0,53.0,54.0,53.0
26,53.0,52.0,51.0,52.0
28,55.0,52.0,55.0,53.0
30,56.0,53.0,54.0,51.0
32,53.0,53.0,54.0,52.0
34,53.0,53.0,55.0,51.0
36,55.0,53.0,54.0,53.0
38,52.0,52.0,54.0,51.0
40,52.0,52.0,54.0,54.0
42,52.0,53.0,54.0,55.0
44,51.0,53.0,54.0,54.0
46,51.0,54.0,52.0,54.0
48,50.0,53.0,53.0,53.0
50,49.0,53.0,54.0,52.0
52,50.0,53.0,53.0,53.0
54,51.0,52.0,54.0,52.0
56,51.0,53.0,53.0,52.0
58,51.0,53.0,54.0,52.0
60,52.0,53.0,53.0,53.0
62,53.0,52.0,53.0,53.0
64,53.0,52.0,54.0,53.0
66,54.0,53.0,53.0,53.0
68,54.0,52.0,54.0,52.0
70,54.0,53.0,54.0,52.0
72,54.0,52.0,54.0,53.0
74,54.0,52.0,54.0,52.0
76,54.0,53.0,54.0,52.0
78,54.0,53.0,53.0,53.0
80,53.0,53.0,54.0,53.0
82,53.0,53.0,53.0,53.0
84,53.0,52.0,53.0,52.0
86,54.0,53.0,54.0,53.0
88,54.0,52.0,53.0,52.0
90,55.0,53.0,53.0,52.0
92,55.0,52.0,53.0,53.0
94,56.0,52.0,54.0,53.0
96,56.0,52.0,53.0,52.0
98,56.0,52.0,54.0,53.0
100,56.0,53.0,53.0,53.0
102,55.0,53.0,54.0,53.0
104,55.0,52.0,54.0,53.0
106,55.0,52.0,54.0,53.0
108,54.0,53.0,53.0,53.0
110,54.0,53.0,54.0,52.0
112,53.0,53.0,53.0,53.0
114,53.0,52.0,53.0,53.0
116,53.0,53.0,54.0,53.0
118,52.0,53.0,54.0,53.0
120,53.0,53.0,54.0,53.0
122,52.0,53.0,53.0,53.0
124,53.0,53.0,54.0,53.0
126,53.0,53.0,53.0,53.0
128,54.0,53.0,53.0,53.0
130,53.0,53.0,54.0,53.0
132,53.0,53.0,54.0,52.0
134,53.0,52.0,54.0,53.0
136,53.0,53.0,53.0,53.0
138,54.0,53.0,53.0,54.0
140,54.0,53.0,49.0,56.0
142,56.0,50.0,51.0,53.0
144,56.0,54.0,52.0,49.0
146,56.0,55.0,50.0,49.0
148,56.0,54.0,53.0,51.0
150,59.0,54.0,55.0,49.0
152,56.0,52.0,54.0,51.0
