timestamp,mic0,mic1,mic2,mic3
0,53.0,53.0,53.0,53.0
2,54.0,53.0,53.0,53.0
4,54.0,53.0,53.0,53.0
6,54.0,53.0,53.0,53.0
8,53.0,52.0,53.0,53.0
10,53.0,53.0,53.0,52.0
12,54.0,53.0,55.0,51.0
14,54.0,52.0,54.0,54.0
16,53.0,53.0,54.0,55.0
18,53.0,52.0,54.0,56.0
20,54.0,52.0,53.0,57.0
22,54.0,53.0,52.0,54.0
24,54.0,53.0,53.0,52.0
26,54.0,53.0,52.0,51.0
28,55.0,53.0,52.0,51.0
30,54.0,53.0,52.0,52.0
32,54.0,53.0,53.0,53.0
34,53.0,53.0,54.0,53.0
36,53.0,53.0,54.0,51.0
38,53.0,53.0,53.0,53.0
40,53.0,53.0,53.0,53.0
42,54.0,53.0,53.0,54.0
44,54.0,53.0,53.0,53.0
46,54.0,52.0,54.0,52.0
48,53.0,53.0,53.0,52.0
50,54.0,53.0,53.0,52.0
52,53.0,53.0,53.0,52.0
54,53.0,52.0,53.0,53.0
56,53.0,53.0,53.0,53.0
58,54.0,53.0,54.0,53.0
60,54.0,53.0,53.0,53.0
62,54.0,52.0,54.0,53.0
64,54.0,53.0,53.0,53.0
66,54.0,52.0,53.0,53.0
68,54.0,53.0,53.0,53.0
70,54.0,52.0,54.0,53.0
72,54.0,53.0,54.0,53.0
74,54.0,53.0,53.0,53.0
76,54.0,53.0,54.0,53.0
78,53.0,53.0,54.0,53.0
80,53.0,53.0,54.0,53.0
82,54.0,53.0,53.0,53.0
84,54.0,53.0,54.0,53.0
86,54.0,53.0,53.0,53.0
88,53.0,53.0,53.0,53.0
90,53.0,53.0,54.0,53.0
92,54.0,53.0,53.0,53.0
94,53.0,53.0,53.0,53.0
96,53.0,52.0,54.0,53.0
98,53.0,52.0,53.0,53.0
100,53.0,53.0,53.0,52.0
102,54.0,53.0,53.0,52.0
104,54.0,52.0,53.0,53.0
106,53.0,53.0,53.0,53.0
108,54.0,52.0,53.0,53.0
110,53.0,53.0,53.0,53.0
112,53.0,53.0,53.0,53.0
114,53.0,53.0,53.0,53.0
116,53.0,52.0,53.0,53.0
118,54.0,53.0,53.0,53.0
120,54.0,53.0,53.0,53.0
122,53.0,53.0,53.0,53.0
124,54.0,52.0,53.0,53.0
126,54.0,53.0,53.0,53.0
128,54.0,52.0,53.0,53.0
130,53.0,53.0,53.0,53.0
132,53.0,53.0,53.0,52.0
134,54.0,53.0,53.0,52.0
136,54.0,53.0,53.0,53.0
138,54.0,53.0,53.0,53.0
140,54.0,53.0,52.0,52.0
142,54.0,53.0,52.0,53.0
144,54.0,53.0,53.0,53.0
146,53.0,52.0,52.0,53.0
148,54.0,53.0,52.0,53.0
150,54.0,53.0,52.0,52.0
152,54.0,52.0,53.0,53.0
154,54.0,53.0,53.0,53.0
156,53.0,53.0,53.0,53.0
158,54.0,53.0,53.0,52.0
160,54.0,53.0,53.0,52.0
162,54.0,53.0,53.0,53.0
164,54.0,53.0,53.0,53.0
166,54.0,52.0,53.0,53.0
168,54.0,53.0,53.0,53.0
170,54.0,52.0,53.0,53.0
172,54.0,53.0,54.0,53.0
174,54.0,53.0,54.0,53.0
176,54.0,53.0,55.0,53.0
178,53.0,53.0,56.0,53.0
180,53.0,53.0,56.0,53.0
182,52.0,53.0,58.0,53.0
184,53.0,53.0,56.0,53.0
186,52.0,52.0,53.0,57.0
188,55.0,54.0,51.0,55.0
190,56.0,53.0,46.0,52.0
192,56.0,52.0,43.0,50.0
194,58.0,50.0,44.0,53.0
196,60.0,53.0,45.0,52.0
198,57.0,52.0,46.0,49.0
200,57.0,52.0,48.0,50.0
202,55.0,53.0,49.0,51.0
204,52.0,53.0,52.0,53.0
206,47.0,53.0,54.0,55.0
208,47.0,53.0,55.0,54.0
210,48.0,53.0,53.0,51.0
212,49.0,54.0,53.0,52.0
214,50.0,53.0,53.0,53.0
216,52.0,52.0,52.0,52.0
218,54.0,53.0,53.0,52.0
220,54.0,53.0,53.0,54.0
222,55.0,52.0,55.0,52.0
224,56.0,53.0,54.0,53.0
226,56.0,53.0,55.0,53.0
228,56.0,53.0,55.0,54.0
230,56.0,53.0,55.0,53.0
232,55.0,53.0,55.0,52.0
234,55.0,53.0,55.0,53.0
236,55.0,53.0,55.0,54.0
238,53.0,53.0,55.0,53.0
240,52.0,53.0,55.0,53.0
242,53.0,53.0,55.0,52.0
244,53.0,52.0,54.0,52.0
246,53.0,53.0,54.0,52.0
248,53.0,52.0,53.0,53.0
250,54.0,52.0,52.0,53.0
252,53.0,52.0,52.0,53.0
254,53.0,53.0,52.0,53.0
256,52.0,52.0,52.0,53.0
258,52.0,53.0,52.0,53.0
260,52.0,53.0,52.0,53.0
262,51.0,53.0,53.0,53.0
264,50.0,53.0,53.0,53.0
266,50.0,53.0,53.0,52.0
268,51.0,53.0,53.0,53.0
270,52.0,53.0,54.0,53.0
272,53.0,53.0,54.0,53.0
274,54.0,53.0,54.0,53.0
276,56.0,52.0,54.0,53.0
278,57.0,53.0,55.0,53.0
280,57.0,53.0,55.0,53.0
282,57.0,53.0,55.0,53.0
284,56.0,53.0,55.0,53.0
286,56.0,53.0,55.0,53.0
288,55.0,53.0,55.0,53.0
290,54.0,53.0,56.0,53.0
292,54.0,52.0,56.0,53.0
294,53.0,53.0,55.0,53.0
296,51.0,52.0,55.0,52.0
298,52.0,52.0,53.0,54.0
300,52.0,52.0,54.0,53.0
302,51.0,53.0,55.0,52.0
304,51.0,52.0,54.0,52.0
306,52.0,52.0,54.0,52.0
308,52.0,53.0,54.0,53.0
310,53.0,53.0,53.0,53.0
312,52.0,52.0,54.0,52.0
314,53.0,53.0,53.0,53.0
316,53.0,53.0,54.0,53.0
318,53.0,53.0,54.0,53.0
320,52.0,53.0,55.0,53.0
322,52.0,53.0,56.0,53.0
324,52.0,53.0,55.0,53.0
326,53.0,53.0,56.0,53.0
328,53.0,53.0,56.0,53.0
330,55.0,53.0,56.0,53.0
332,55.0,52.0,56.0,52.0
334,55.0,52.0,56.0,53.0
336,56.0,53.0,55.0,53.0
338,55.0,53.0,55.0,53.0
340,55.0,53.0,55.0,53.0
342,54.0,52.0,55.0,53.0
344,53.0,53.0,56.0,53.0
346,53.0,53.0,55.0,53.0
348,52.0,53.0,55.0,53.0
350,52.0,52.0,55.0,53.0
352,51.0,53.0,55.0,53.0
354,51.0,52.0,54.0,53.0
356,51.0,52.0,54.0,52.0
358,51.0,52.0,54.0,53.0
360,52.0,52.0,54.0,53.0
362,53.0,53.0,54.0,53.0
364,53.0,52.0,53.0,53.0
366,53.0,53.0,54.0,53.0
368,53.0,53.0,53.0,53.0
370,53.0,53.0,54.0,53.0
372,53.0,53.0,54.0,53.0
374,53.0,53.0,54.0,53.0
376,53.0,53.0,54.0,53.0
378,53.0,53.0,55.0,53.0
380,53.0,53.0,55.0,53.0
382,52.0,53.0,54.0,53.0
384,53.0,53.0,54.0,53.0
386,54.0,52.0,55.0,52.0
388,54.0,53.0,54.0,53.0
390,54.0,53.0,54.0,53.0
392,54.0,53.0,53.0,53.0
394,54.0,53.0,54.0,53.0
396,53.0,52.0,54.0,53.0
398,53.0,52.0,54.0,53.0
400,53.0,53.0,54.0,53.0
402,52.0,52.0,54.0,52.0
404,52.0,53.0,53.0,53.0
406,52.0,53.0,53.0,53.0
408,52.0,53.0,53.0,53.0
410,52.0,53.0,53.0,53.0
412,52.0,53.0,53.0,53.0
414,52.0,53.0,54.0,53.0
416,52.0,53.0,54.0,52.0
418,53.0,52.0,54.0,53.0
420,53.0,53.0,54.0,53.0
422,54.0,53.0,54.0,53.0
424,54.0,53.0,54.0,53.0
426,54.0,53.0,54.0,53.0
428,54.0,52.0,54.0,53.0
430,54.0,53.0,55.0,53.0
432,54.0,53.0,55.0,53.0
434,54.0,53.0,55.0,53.0
436,54.0,53.0,55.0,53.0
438,53.0,53.0,55.0,53.0
440,53.0,53.0,54.0,53.0
442,53.0,53.0,55.0,53.0
444,53.0,53.0,54.0,53.0
446,53.0,53.0,55.0,53.0
448,53.0,53.0,54.0,53.0
450,53.0,52.0,54.0,53.0
452,53.0,52.0,54.0,53.0
454,53.0,53.0,54.0,53.0
456,53.0,52.0,54.0,53.0
458,52.0,53.0,54.0,53.0
460,51.0,53.0,53.0,52.0
462,52.0,53.0,53.0,52.0
464,52.0,52.0,54.0,52.0
466,52.0,53.0,54.0,52.0
468,52.0,53.0,54.0,53.0
470,52.0,53.0,53.0,53.0
472,53.0,53.0,53.0,53.0
474,53.0,52.0,53.0,52.0
476,54.0,53.0,52.0,52.0
478,54.0,53.0,53.0,53.0
480,54.0,52.0,52.0,53.0
482,55.0,53.0,52.0,53.0
484,55.0,52.0,51.0,52.0
486,54.0,52.0,51.0,54.0
488,52.0,54.0,51.0,52.0
490,51.0,53.0,51.0,54.0
492,53.0,53.0,52.0,54.0
494,52.0,53.0,53.0,55.0
496,51.0,54.0,54.0,55.0
498,51.0,53.0,54.0,55.0
500,50.0,53.0,53.0,49.0
502,51.0,52.0,54.0,49.0
504,48.0,51.0,57.0,49.0
506,51.0,52.0,60.0,46.0
508,53.0,52.0,56.0,48.0
510,53.0,52.0,55.0,49.0
512,54.0,54.0,54.0,54.0
514,56.0,54.0,53.0,52.0
516,56.0,53.0,54.0,52.0
518,56.0,53.0,53.0,54.0
520,56.0,53.0,54.0,54.0
522,55.0,53.0,54.0,50.0
524,54.0,53.0,54.0,51.0
526,53.0,53.0,53.0,53.0
528,52.0,53.0,52.0,53.0
530,51.0,54.0,58.0,44.0
532,47.0,52.0,49.0,53.0
